producto,ciudad,precio,variabilidad,fecha,LATITUD,LONGITUD
Lechuga batavia,armenia,n.d.,n.d.,01ago2023,4.499501128,-75.72489985
Lechuga batavia,bogotá,2233,-0.06,01ago2023,,
Lechuga batavia,bucaramanga,1542,0.09,01ago2023,7.155833544,-73.11156997
Lechuga batavia,cali,1192,0.29,01ago2023,3.399043723,-76.57649259
Lechuga batavia,cúcuta,1667,0,01ago2023,,
Lechuga batavia,ibagué,2053,0.28,01ago2023,4.451921427,-75.252591
Lechuga batavia,medellín,859,-0.07,01ago2023,6.257590259,-75.61103107
Lechuga batavia,neiva,1973,0.21,01ago2023,2.993360046,-75.27236232
Lechuga batavia,pereira,2083,0.19,01ago2023,4.803662773,-75.79579093
Lechuga batavia,santa,2500,-0.02,01ago2023,,
Lechuga batavia,tunja,1300,-0.19,01ago2023,5.518472615,-73.37801856
Pepino cohombro,armenia,1500,0,01ago2023,6.163683758,-75.80995528
Pepino cohombro,armenia,1500,0,01ago2023,4.499501128,-75.72489985
Pepino cohombro,bogotá,2950,0.15,01ago2023,,
Pepino cohombro,bucaramanga,1620,0,01ago2023,7.155833544,-73.11156997
Pepino cohombro,cali,1833,0.07,01ago2023,3.399043723,-76.57649259
Pepino cohombro,cúcuta,1667,0.67,01ago2023,,
Pepino cohombro,ibagué,1653,-0.14,01ago2023,4.451921427,-75.252591
Pepino cohombro,medellín,1775,0,01ago2023,6.257590259,-75.61103107
Pepino cohombro,neiva,2107,-0.01,01ago2023,2.993360046,-75.27236232
Pepino cohombro,pereira,2000,-0.1,01ago2023,4.803662773,-75.79579093
Pepino cohombro,santa,2100,-0.07,01ago2023,,
Pepino cohombro,tunja,1533,-0.07,01ago2023,5.518472615,-73.37801856
Pimentón,armenia,2633,0,01ago2023,6.163683758,-75.80995528
Pimentón,armenia,2633,0,01ago2023,4.499501128,-75.72489985
Pimentón,bogotá,1983,-0.23,01ago2023,,
Pimentón,bucaramanga,2200,0,01ago2023,7.155833544,-73.11156997
Pimentón,cali,1450,-0.12,01ago2023,3.399043723,-76.57649259
Pimentón,cúcuta,1927,-0.08,01ago2023,,
Pimentón,ibagué,n.d.,n.d.,01ago2023,4.451921427,-75.252591
Pimentón,medellín,1150,0.21,01ago2023,6.257590259,-75.61103107
Pimentón,neiva,1762,1.06,01ago2023,2.993360046,-75.27236232
Pimentón,pereira,2933,0.24,01ago2023,4.803662773,-75.79579093
Pimentón,santa,2167,0,01ago2023,,
Pimentón,tunja,1179,0.06,01ago2023,5.518472615,-73.37801856
Remolacha,armenia,1920,-0.14,01ago2023,6.163683758,-75.80995528
Remolacha,armenia,1920,-0.14,01ago2023,4.499501128,-75.72489985
Remolacha,bogotá,868,0.77,01ago2023,,
Remolacha,bucaramanga,1688,0,01ago2023,7.155833544,-73.11156997
Remolacha,cali,750,-0.08,01ago2023,3.399043723,-76.57649259
Remolacha,cúcuta,767,-0.32,01ago2023,,
Remolacha,ibagué,1147,-0.02,01ago2023,4.451921427,-75.252591
Remolacha,medellín,550,0,01ago2023,6.257590259,-75.61103107
Remolacha,neiva,725,-0.11,01ago2023,2.993360046,-75.27236232
Remolacha,pereira,n.d.,n.d.,01ago2023,4.803662773,-75.79579093
Remolacha,santa,1292,0.09,01ago2023,,
Remolacha,tunja,833,0.02,01ago2023,5.518472615,-73.37801856
Tomate*,armenia,2500,0.1,01ago2023,6.163683758,-75.80995528
Tomate*,armenia,2500,0.1,01ago2023,4.499501128,-75.72489985
Tomate*,bogotá,2905,0.02,01ago2023,,
Tomate*,bucaramanga,2227,-0.05,01ago2023,7.155833544,-73.11156997
Tomate*,cali,n.d.,n.d.,01ago2023,3.399043723,-76.57649259
Tomate*,cúcuta,2839,-0.04,01ago2023,,
Tomate*,ibagué,2950,0.2,01ago2023,4.451921427,-75.252591
